"","emm2","Fixed effect","variable"
"127",-0.00362882690760395,"N:P","Sr"
"128",0.00664971661977602,"Depth*N*P","Sr"
"129",0.0247823722629493,"intercept","Zn"
"130",0.0104153424684976,"Depth","Zn"
"131",-0.00138224162969271,"N addition","Zn"
"132",0.00259893847861806,"P addition","Zn"
"133",0.00152981090160608,"Depth*N","Zn"
"134",-0.000461457684382226,"Depth*P","Zn"
"135",-0.00799145189220138,"N:P","Zn"
"136",0.00959685225948406,"Depth*N*P","Zn"
"137",25.4348472420507,"intercept","s_Ca"
"138",20.0686927416078,"Depth","s_Ca"
"139",9.38507651621552,"N addition","s_Ca"
"140",3.96849758204661,"P addition","s_Ca"
"141",-14.2631404030387,"Depth*N","s_Ca"
"142",-6.31371279892156,"Depth*P","s_Ca"
"143",-10.6006546033555,"N:P","s_Ca"
"144",8.43224950144832,"Depth*N*P","s_Ca"
"145",59.8501538610217,"intercept","s_K"
"146",0.972058355555246,"Depth","s_K"
"147",-3.17277406289833,"N addition","s_K"
"148",11.917056846675,"P addition","s_K"
"149",-6.39339384874709,"Depth*N","s_K"
"150",-10.4141243267224,"Depth*P","s_K"
"151",-11.8055031831454,"N:P","s_K"
"152",-0.3771366184419,"Depth*N*P","s_K"
"153",4.24770184780356,"intercept","s_Mg"
"154",4.13282424688466,"Depth","s_Mg"
"155",3.95983513481698,"N addition","s_Mg"
"156",0.855315839255936,"P addition","s_Mg"
"157",-1.88542586619986,"Depth*N","s_Mg"
"158",-0.503617607342536,"Depth*P","s_Mg"
"159",-3.3096136060243,"N:P","s_Mg"
"160",2.32007210337006,"Depth*N*P","s_Mg"
"161",5.51472974968105,"intercept","s_Mn"
"162",0.943644658289966,"Depth","s_Mn"
"163",5.45135565956745,"N addition","s_Mn"
"164",1.86002569412611,"P addition","s_Mn"
"165",-1.09813525446684,"Depth*N","s_Mn"
"166",-0.723269140284096,"Depth*P","s_Mn"
"167",-3.87286830978768,"N:P","s_Mn"
"168",3.27295699673494,"Depth*N*P","s_Mn"
"169",0.0582972595299149,"intercept","s_Al"
"170",0.0124977220541281,"Depth","s_Al"
"171",0.0924474306403948,"N addition","s_Al"
"172",0.0321166423628477,"P addition","s_Al"
"173",-0.0985739096571397,"Depth*N","s_Al"
"174",-0.00298459754534474,"Depth*P","s_Al"
"175",-0.0656375153252059,"N:P","s_Al"
"176",0.0513816070661645,"Depth*N*P","s_Al"
"177",0.060807031398493,"intercept","s_Zn"
"178",0.018514109609573,"Depth","s_Zn"
"179",-0.0219642967081011,"N addition","s_Zn"
"180",-0.00743188727639103,"P addition","s_Zn"
"181",-0.00343594979296397,"Depth*N","s_Zn"
