,Stand,Group,var2,variable,x,group,se,normalized
63,C9,Soluble protein,protein,protein,-1.431528318,C9 protein,0.820313213,-1.431528318
64,C7,Polyamines,Put,Put,-12.14880076,C7 Put,10.30124254,-12.14880076
65,C8,Polyamines,Put,Put,-6.415939969,C8 Put,10.09174139,-6.415939969
66,C9,Polyamines,Put,Put,-2.25881003,C9 Put,3.159490934,-2.25881003
67,C7,Polyamines,Spm,Spm,1.379801667,C7 Spm,1.705110114,1.379801667
68,C8,Polyamines,Spm,Spm,-1.820194083,C8 Spm,4.618271599,-1.820194083
69,C9,Polyamines,Spm,Spm,0.520217063,C9 Spm,3.060557189,0.520217063
70,C7,Polyamines,Spd,Spd,-1.723781354,C7 Spd,5.005510782,-1.723781354
71,C8,Polyamines,Spd,Spd,-1.354861496,C8 Spd,2.251285526,-1.354861496
72,C9,Polyamines,Spd,Spd,-1.957546997,C9 Spd,3.690641939,-1.957546997
