"","variable","height","height*N","height*N*P","height*P","intercept","N","N*P","P","vord","height.adj","N.adj","P.adj","heightN.adj","heightP.adj","NP.adj"
"20","mass_g",0.00873971109228511,0.873875134524148,0.586653000776923,0.0868922536193435,0,0.449011174083982,0.843952690193351,0.687157968084587,1,0.995168352451161,0.921699878206974,0.980967238405729,0.98532694606488,0.902483386048603,0.983957706902323
"3","area_cm2",2.48479370412724e-09,0.609256344044199,0.527340681191064,0.0214029798201547,0,0.599357081028646,0.487372120425742,0.604659272637672,2,0.995168352451161,0.921699878206974,0.980967238405729,0.98532694606488,0.898925152446498,0.983957706902323
"38","SLA",1.11022302462516e-16,0.811501105835006,0.74471871318453,0.0329218366073847,0,0.234441359143727,0.367753383131266,0.596334061743967,3,0.995168352451161,0.921699878206974,0.980967238405729,0.98532694606488,0.902483386048603,0.983957706902323
"7","C",1.10815800979935e-11,0.0397311639422095,0.145800554157134,0.166474293541286,0,0.813126783847162,0.189659896608239,0.751582556404928,4,0.995168352451161,0.921699878206974,0.980967238405729,0.98532694606488,0.902483386048603,0.983957706902323
"24","N",0.000464278924917183,0.964346322200619,0.686449580160408,0.0721865932639567,2.22044604925031e-16,0.0137172945556179,0.347865391899655,0.529420439721705,5,0.995168352451161,0.534974487669097,0.980967238405729,0.98532694606488,0.902483386048603,0.983957706902323
"25","N_P",0.682278066258632,0.522391173769257,0.527146016320578,0.429886826870535,9.3892126296069e-09,0.0168361850672799,0.0548899207669519,0.000702822506701839,6,0.995168352451161,0.606102662422077,0.0309241902948809,0.98532694606488,0.902483386048603,0.983957706902323
"26","P",0.00716804310169306,0.514225486251931,0.406459376017862,0.0164150952474726,9.57052814776205e-09,0.316527671192598,0.117578511069662,0.00213847386751653,7,0.995168352451161,0.921699878206974,0.0898159024356944,0.98532694606488,0.705849095641324,0.983957706902323
"8","Ca",1.85779670536235e-08,0.503815791056985,0.331853588273897,0.622233986310786,1.48991929904696e-13,0.919706451199555,0.974176512923634,0.845996750406494,8,0.995168352451161,0.921699878206974,0.980967238405729,0.98532694606488,0.902483386048603,0.983957706902323
"21","Mg",1.40181891650215e-08,0.510341745068168,0.2551820443799,0.178093914365536,1.88737914186277e-15,0.0901210280234728,0.489461542529574,0.968878086042334,9,0.995168352451161,0.921699878206974,0.980967238405729,0.98532694606488,0.902483386048603,0.983957706902323
"22","Mn",0.00425189595769759,0.378938229146951,0.354930493873421,0.109990402361172,0,0.0116093347277819,0.782634197327098,0.260579088517502,10,0.995168352451161,0.464373389111277,0.980967238405729,0.98532694606488,0.902483386048603,0.983957706902323
"1","Al",0.858606032551336,0.430306284600205,0.728294815251227,0.0518508467468594,0,0.0103431970799228,0.414508513933848,0.546995755941714,11,0.995168352451161,0.434414277356758,0.980967238405729,0.98532694606488,0.902483386048603,0.983957706902323
"13","Fe",0.299143390632016,0.774787278028431,0.73703794221226,0.0274850441191328,0,0.0063617428316014,0.938493275684652,0.753168775214577,12,0.995168352451161,0.27355494175886,0.980967238405729,0.98532694606488,0.902483386048603,0.983957706902323
"6","B",5.8928804921532e-05,0.957975212702516,0.52815119896711,0.00361868381493236,8.90398865749376e-14,0.214436029174972,0.0956198633265649,0.00140558283025349,13,0.995168352451161,0.921699878206974,0.0604400617009002,0.98532694606488,0.159222087857024,0.983957706902323
"44","Zn",5.44019274073548e-11,0.0455166473800549,0.126397443575985,0.182683530824539,0,0.6416255830633,0.735417872553655,0.868426108059141,14,0.995168352451161,0.921699878206974,0.980967238405729,0.98532694606488,0.902483386048603,0.983957706902323
"30","S",0.000587583216326681,0.221389169389292,0.496866244091757,0.708117595124167,0,0.0974885227088274,0.750392307482586,0.324734180806939,15,0.995168352451161,0.921699878206974,0.980967238405729,0.98532694606488,0.902483386048603,0.983957706902323
"29","Put",5.91621521195407e-06,0.188438933251468,0.131270711957721,0.829072080252462,0.000419865675795883,0.822233447164888,0.498067920549699,0.82907314616812,16,0.995168352451161,0.921699878206974,0.980967238405729,0.98532694606488,0.902483386048603,0.983957706902323
"39","Spd",0.0343943469318103,0.829892894983294,0.504296391835811,0.379286346715058,1.75401471125269e-10,0.332911860318632,0.797579380605709,0.504467270243496,17,0.995168352451161,0.921699878206974,0.980967238405729,0.98532694606488,0.902483386048603,0.983957706902323
"40","Spm",0.671466634593449,0.00747242354321687,0.974579519350447,0.413256636270281,1.74670958696943e-07,0.745936653007895,0.288593633755087,0.400492969205351,18,0.995168352451161,0.921699878206974,0.980967238405729,0.291424518185458,0.902483386048603,0.983957706902323
"15","Glu",2.87960842261237e-05,0.02807185247896,0.767793316409451,0.676090853158553,7.03928915157803e-10,0.0608609179314363,0.578791691809722,0.322702684871705,19,0.995168352451161,0.921699878206974,0.980967238405729,0.98532694606488,0.902483386048603,0.983957706902323
"4","Arg",0.00969803533069902,0.00459838325093065,0.24882049895371,0.294865109855523,0.0187003817516672,0.288778008434079,0.507447281050142,0.373120459822561,20,0.995168352451161,0.921699878206974,0.980967238405729,0.188533713288157,0.902483386048603,0.983957706902323
"2","Ala",0.121409292158847,0.00309885743685334,0.995168352451161,0.475963693973245,3.25399707179486e-10,0.00587173999060231,0.809082727616065,0.61987330352967,21,0.995168352451161,0.258356559586502,0.980967238405729,0.133250869784694,0.902483386048603,0.983957706902323
"27","Pro",0.00732074714400122,0.0587145161529412,0.128050747052176,0.0271911562548313,0.00999447901171435,0.474972694984215,0.470036556129731,0.213304407031218,22,0.995168352451161,0.921699878206974,0.980967238405729,0.98532694606488,0.902483386048603,0.983957706902323
"14","GABA",0.00187902074923896,0.00583922141438253,0.134526368907494,0.338406900404396,1.73699332695065e-09,0.199520059073853,0.514966322590863,0.652588774593427,23,0.995168352451161,0.921699878206974,0.980967238405729,0.233568856575301,0.902483386048603,0.983957706902323
"43","Val",0.01239655593236,0.00450418677127451,0.386039251025869,0.273094826704299,4.51685135646196e-05,0.092426270714655,0.631656708514058,0.299681152583382,24,0.995168352451161,0.921699878206974,0.980967238405729,0.188533713288157,0.902483386048603,0.983957706902323
