"","Tree_ID","Stand","t.height.m","trmt","Ntrmt","Ptrmt","var","Al","Ala","area_cm2","Arg","Asp","B","C","Ca","carot","Chl_A","Chl_B","Chl_R","Fe","GABA","Glu","Ile","K","Leu","Lys","mass_g","Mg","Mn","moisture","N","N_P","P","Pro","protein","Put","S","s_Al","s_Ca","s_K","s_Mg","s_Mn","s_P","s_Zn","SLA","Spd","Spm","Sr","total_chl","Val","Zn"
"1",30,"C8",23,"N","yesN","noP","ave",0.0270025,582.17496,51.0918325,106.727173333333,189.442833333333,0.0247475,492.3950525,5.980505,0.503846666666667,1.81312333333333,0.79043,2.31132,0.0499775,629.327453333333,298.879156666667,58.9575233333333,8.9190875,99.41653,36.2974633333333,0.511,0.7310875,2.344135,0.623567283950617,17.263355,12.6927725,1.367875,169.163333333333,5.34535666666667,66.02778,0.9951525,0.176186666666667,35.9641366666667,65.08106,6.81621,12.22945,10.15283,0.025275,98.1174825,60.40074,13.1641533333333,0.021515,2.60355333333333,70.77248,0.0216975
"2",79,"C9",25,"Con","noN","noP","ave",0.022726,288.882322,40.61024,99.108372,74.997308,0.030956,498.389404,5.753512,0.577858,2.072736,0.891846,2.327686,0.045054,229.374922,182.76952,23.226308,9.675538,62.193054,16.017538,0.4844,0.533234,1.521766,0.594983669337138,18.484868,19.738454,0.945224,116.508,4.896332,97.538086,1.456552,0.077655,29.691844,65.325096,5.694954,7.400744,6.639108,0.081676,84.375014,33.171202,9.205904,0.01544,2.96458,27.34339,0.029848
"3",128,"C9",23,"P","noN","yesP","ave",0.020914,335.335488,48.379258,249.898174,110.0964,0.04298,493.631492,5.828124,0.476126,1.734572,0.701812,2.531568,0.043588,432.465702,239.40461,40.674174,11.072832,52.827936,10.555782,0.5562,0.560156,1.60379,0.595541606730875,20.159604,12.274728,1.644358,413.09,4.3975,137.785896,1.646526,0.074644,24.159684,65.048362,4.763076,6.387912,10.32223,0.068652,88.914944,51.150656,7.117688,0.014658,2.436382,29.155056,0.031878
"4",168,"C9",22,"NP","yesN","yesP","ave",0.027825,508.26649,44.8827066666667,155.81277,87.4820216666667,0.0485516666666667,495.265681666667,7.51153833333333,0.648776666666667,2.64282666666667,1.06528666666667,2.51790166666667,0.06064,268.08685,217.058155,22.3130383333333,8.23265,71.66268,32.7960516666667,0.456,1.03045,1.81451666666667,0.600926515149888,24.090055,16.884455,1.43108333333333,142.02,4.60597333333333,67.68455,1.48095,0.0757033333333333,31.5766183333333,39.2953966666667,8.39913833333333,6.76828333333333,7.58362,0.0566483333333333,99.36809,30.9888116666667,12.8206233333333,0.02237,3.70811333333333,31.5119366666667,0.031095
"5",249,"C8",24,"P","noN","yesP","ave",0.0220333333333333,507.54146,41.6794866666667,119.630888,234.00804,0.0328816666666667,478.152915,10.2966633333333,0.45545,1.77967,0.844332,2.125896,0.043855,454.03881,285.458268,29.910104,12.120435,78.65339,30.73244,0.495,0.921825,1.40716333333333,0.607641590618297,17.1763883333333,5.96397166666667,2.89004833333333,112.298,3.231252,17.143816,1.84453166666667,0.14439,54.841282,77.276292,9.37495,6.949788,27.526852,0.11435,83.4481466666667,31.047022,19.928738,0.0367616666666667,2.624,57.320838,0.0393266666666667
"6",250,"C8",25,"Con","noN","noP","ave",0.013828,441.888912,59.18569,88.036352,132.788888,0.020438,485.855464,11.218302,0.47627,1.970778,0.86804,2.285218,0.042278,178.874376,229.494354,13.872324,10.726436,35.31028,24.457544,0.5384,0.970632,0.933614,0.643723422329537,17.333846,12.23785,1.43226,76.514,3.801682,17.211722,1.623414,0.045425,52.229322,60.016748,9.302048,4.116154,9.995658,0.0975,109.561078,15.443058,13.505592,0.047718,2.838818,29.450706,0.042116
"7",320,"C9",24,"N","yesN","noP","ave",0.0252533333333333,386.13154,39.4444,435.652086666667,76.7495683333333,0.032655,490.510961666667,8.39375166666667,0.583273333333333,2.48324666666667,1.084675,2.33100833333333,0.067445,303.81412,180.553493333333,18.835825,6.30937833333333,41.0325233333333,29.5992866666667,0.487166666666667,1.15671333333333,2.64546,0.583535246922031,24.0518016666667,22.366685,1.07573166666667,93.7616666666667,4.26272666666667,59.8822816666667,1.44835833333333,0.071785,40.6954866666667,40.1460666666667,9.97071833333333,11.9076633333333,6.784135,0.053925,81.9642866666667,29.32602,9.19047333333333,0.0252683333333333,3.56792166666667,24.0607033333333,0.0319616666666667
"8",480,"C7",24,"Con","noN","noP","ave",0.0168771428571429,294.873482857143,40.3409328571429,131.258732857143,68.4194,0.0301771428571429,495.202692857143,5.06637571428571,0.396622857142857,1.36071,0.586918571428571,2.35128285714286,0.0409628571428571,314.414787142857,134.939215714286,15.8780628571429,8.0247,97.0453585714286,16.6872728571429,0.532,0.38227,1.46944285714286,0.54988381706535,15.7805457142857,17.6805414285714,0.910031428571429,113.135714285714,5.61493714285714,86.9838057142857,1.26301285714286,0.0663571428571429,24.8008971428571,56.0039414285714,4.00644714285714,6.40397714285714,6.48282857142857,0.03469,76.1797185714286,28.1502342857143,13.93344,0.0115257142857143,1.94762714285714,23.4631,0.0182071428571429
"9",571,"C7",24,"P","noN","yesP","ave",0.0201825,258.8859475,28.42575,145.8899225,48.8274725,0.0292775,492.8064325,6.6653,0.35112,0.956815,0.35713,2.74545,0.0353925,114.4658125,148.591345,11.28609,9.160105,66.923565,13.8550425,0.4525,0.706375,2.21188,0.588954781551191,12.9472625,7.8460875,1.6726975,63.99,4.93908,10.06277,1.3340775,0.0603075,30.0129125,58.050735,6.682225,9.24327,12.6326,0.0250725,63.12737,16.76995,8.49936,0.0150775,1.313945,21.478785,0.025705
"10",609,"C7",20,"N","yesN","noP","ave",0.0308225,490.6740825,46.733775,132.63286,122.9131225,0.020765,486.2937975,8.0702025,0.59803,2.909945,1.3170775,2.2182375,0.0612475,344.3663225,279.817755,24.16966,10.78022,115.9720775,25.28969,0.47675,1.1045875,2.1120075,0.62654152775519,19.3757175,17.16478,1.1402775,88.7175,4.320895,23.97555,1.3201075,0.111455,34.85728,59.709045,10.731835,8.558285,7.35028,0.0507225,97.8893375,23.051085,9.9526925,0.02037,4.227025,40.79689,0.034395
"11",928,"C8",25,"NP","yesN","yesP","ave",0.031846,564.377948,37.616698,183.799006,173.47903,0.038774,490.765416,8.284302,0.504894,2.153566,0.926668,2.411978,0.06862,517.317284,341.426472,56.297994,10.428702,51.908448,17.279882,0.4388,1.000212,3.155636,0.613862630936315,24.883858,12.632676,2.02489,1013.672,3.725162,64.259358,1.468014,0.119594,32.773706,55.938324,8.8807,12.068882,12.770732,0.0252333333333333,86.188896,46.682182,17.960744,0.018254,3.080236,65.150466,0.02598
"12",1297,"C7",20,"NP","yesN","yesP","ave",0.0212033333333333,384.64592,58.7181633333333,1518.68341,110.713576666667,0.0392366666666667,492.937796666667,7.29057333333333,0.574656666666667,2.30052666666667,0.993493333333333,2.32495,0.04555,399.00434,241.161953333333,21.9098966666667,9.19407333333333,53.18835,76.2489,0.572333333333333,0.66478,2.99824333333333,0.604449098708128,18.0294,11.93812,1.52821666666667,127.68,4.70771333333333,73.24103,1.06637,0.10635,32.3520066666667,51.78925,5.96281333333333,12.11734,10.6713366666667,0.0560533333333333,101.604433333333,42.1580266666667,12.6570066666667,0.0178033333333333,3.29402,37.82144,0.0285433333333333
