"","Tube","Tree_ID","Stand","dbh_cm","t_height_m","trmt","Ntrmt","Ptrmt","dfromtop","scaled","mass_g","area_cm2","SLA","C","N","N_P","Al","B","Ca","Fe","K","Mg","Mn","P","S","Sr","Zn","s_Ca","s_K","s_Mg","s_Mn","s_Al","s_Zn","s_P","Put","Spd","Spm","Asp","Glu","Arg","Ala","GABA","Val","Ile","Leu","Lys","Pro","total_chl","Chl_A","Chl_B","Chl_R","carot","protein","moisture"
"21","1-121",480,"C7",59.3,24,"Control","noN","noP",0,0,0.544,26.23866,48.23283,504.75226,15.17824,14.86717,0.02185,0.0335,3.94359,0.04901,8.24929,0.30584,1.3359,1.02092,1.30082,0.00693,0.01523,21.50451,65.78585,3.44177,6.80854,0.06594,0.01869,7.73587,160.54987,31.96931,35.61381,55.30691,95.39642,111.57289,222.05882,281.39386,16.24041,6.84143,318.79795,11.50895,78.58,1.19646,0.86237,0.33409,2.58125,0.3148,6.84615,0.543518518518519
"22","1-122",480,"C7",59.3,24,"Control","noN","noP",-2,0.166666667,0.536,33.44509,62.39756,500.17178,16.2192,16.65286,0.02091,0.03393,4.36187,0.05027,8.52201,0.35322,1.30688,0.97396,1.32655,0.00856,0.01619,19.71016,59.38438,3.43772,5.43908,0.07587,0.09706,6.81011,85.26703,26.7035,13.13689,86.55617,151.19705,161.81707,273.54205,379.68079,25.59853,13.87354,80.23327,21.8539,84.41,1.53484,1.08658,0.44826,2.42396,0.33731,5.93023,0.555945945945946
"23","1-123",480,"C7",59.3,24,"Control","noN","noP",-4,0.333333333,0.518,29.54188,57.03065,500.95731,16.11683,17.11157,0.01657,0.02785,4.62704,0.04385,7.77893,0.34204,1.3153,0.94187,1.22015,0.00987,0.01783,19.02975,51.22156,2.89677,5.03356,0.02499,0.00219,5.78911,114.48783,25.86304,10.07357,47.82117,99.54726,93.37861,232.71081,239.44539,15.16695,10.41313,53.36729,9.28127,71.59,1.79395,1.24797,0.54599,2.28571,0.36027,5.91699,0.555348837209302
"24","1-124",480,"C7",59.3,24,"Control","noN","noP",-6,0.5,0.564,40.96766,72.6377,495.38343,14.30989,17.86503,0.015,0.026,4.668,0.037,7.839,0.282,1.488,0.801,1.267,0.012,0.017,21.43759,51.96569,2.68568,6.17519,0.03803,0.04209,5.79583,136.99562,35.53719,14.73019,42.24599,71.85221,77.78318,192.65921,303.6947,21.77929,25.81429,138.98882,7.48663,348.91,1.10215,0.77642,0.32573,2.3836,0.31826,5.82505,0.510980392156863
"25","1-125",480,"C7",59.3,24,"Control","noN","noP",-8,0.666666667,0.538,47.41926,88.13989,489.01081,15.59088,16.44052,0.01381,0.03219,6.68404,0.0366,8.68235,0.48903,2.36968,0.94832,1.24135,0.01527,0.02607,26.71192,47.85711,4.5846,9.07422,0.04747,0.04766,5.72677,38.44635,24.42396,7.17577,64.12113,153.85122,154.31205,349.11126,350.09875,27.97893,18.16985,32.65306,22.05398,75.91,2.21324,1.50152,0.71173,2.10969,0.41061,5.30426,0.573265306122449
"26","1-126",480,"C7",59.3,24,"Control","noN","noP",-10,0.833333333,0.549,55.52892,101.14558,488.89025,16.24909,24.26886,0.0126,0.02311,3.99362,0.03388,6.59922,0.37794,0.94428,0.66954,1.05494,0.00954,0.01468,29.32378,60.37354,5.99908,5.51154,0.12738,0.02997,6.50766,32.38994,18.74214,8.61635,81.50943,176.85535,171.57233,385.15723,304.40252,26.41509,15.4717,24.33962,20.18868,67.36,1.97992,1.39377,0.58614,2.37787,0.3972,5.2729,0.560243902439024
"27","1-127",480,"C7",59.3,24,"Control","noN","noP",-12,1,0.475,49.24506,103.67382,487.25301,16.79969,16.55778,0.0174,0.03466,7.18647,0.03613,8.5021,0.52582,1.52606,1.01461,1.43028,0.01851,0.02045,35.88857,55.43946,4.99951,6.78571,0.08482,0.00517,7.01445,40.75,33.8125,8.1875,101.375,195.875,148.375,408.875,342.1875,31.0625,20.5625,30.9375,24.4375,65.19,3.81283,2.65634,1.15649,2.2969,0.63791,4.20898,NA
"28","1-128",571,"C7",64.5,24,"P treatment","noN","yesP",0,0,0.512,27.50317,53.71713,498.40431,11.81172,9.01859,0.02099,0.0268,5.37183,0.0334,8.93189,0.54356,1.86314,1.30971,1.26381,0.012,0.02264,25.85402,64.10219,6.11816,9.60878,0.05656,0.01733,11.85467,16.50033,18.16367,13.04059,50.0998,139.58749,249.9002,274.4511,128.21025,22.68796,11.44378,204.25815,16.833,71.59,0.9474,0.70984,0.23756,2.98802,0.30609,6.12033,0.582564102564103
"29","1-129",571,"C7",64.5,24,"P treatment","noN","yesP",-2,0.333333333,0.447,30.92897,69.19233,490.86504,13.14252,6.7951,0.02145,0.02673,6.43228,0.03812,10.10795,0.78216,2.07382,1.93412,1.42593,0.01445,0.02877,24.05104,60.96191,6.36569,7.90913,0.0547,0.02804,13.32114,7.82609,13.4058,6.37681,38.04348,137.3913,67.31884,214.92754,100.14493,13.18841,5.43478,13.11594,9.2029,50.94,1.16937,0.85674,0.31263,2.74042,0.31029,4.76879,0.575555555555555
"30","1-130",571,"C7",64.5,24,"P treatment","noN","yesP",-4,0.666666667,0.444,30.28381,68.20678,492.41025,13.4539,7.74904,0.01957,0.03071,7.28095,0.03374,9.0721,0.6726,2.40634,1.7362,1.33242,0.01667,0.02579,32.08266,60.77778,6.2054,10.695,0.05941,0.01603,13.88075,5.93272,14.80122,6.36086,58.89908,164.52599,107.03364,275.65749,140.30581,28.68502,18.83792,35.41284,16.33028,79.2,1.20354,0.88801,0.31553,2.81433,0.34433,4.53649,0.608125
"31","1-131",571,"C7",64.5,24,"P treatment","noN","yesP",-6,1,0.407,24.98705,61.39324,489.54613,13.38091,7.82162,0.01872,0.03287,7.57614,0.03631,8.52848,0.82718,2.50422,1.71076,1.31415,0.01719,0.02562,38.06393,46.36106,8.03965,8.76017,0.07056,0.03889,11.47384,9.99194,20.70911,8.21918,48.26753,152.8606,159.30701,270.50766,89.20226,21.35375,9.42788,14.90733,13.05399,54.23,1.93547,1.37267,0.5628,2.43903,0.44377,4.33071,0.589574468085106
"32","1-132",1297,"C7",49.3,20,"N+P treatment","yesN","yesP",0,0,0.553,42.12895,76.18255,498.1303,17.72752,12.30713,0.02326,0.02672,6.31167,0.04073,8.2917,0.53327,2.3681,1.44043,0.98302,0.01647,0.01684,30.099,53.06375,4.68405,9.65969,0.10655,0.0164,10.97158,97.91438,38.80351,17.78266,96.87157,209.11087,3692.86498,325.74094,398.84742,47.69484,34.35785,78.70472,161.80022,170.42,2.59571,1.82847,0.76724,2.38316,0.50525,5.34,0.576666666666667
"33","1-133",1297,"C7",49.3,20,"N+P treatment","yesN","yesP",-2,0.5,0.674,80.57403,119.54604,488.78064,17.30782,12.99343,0.01865,0.04609,7.65407,0.04488,7.89782,0.83963,3.05297,1.33204,1.01564,0.01954,0.02858,34.517,51.17381,7.75745,13.3754,0.13972,0.08835,10.03883,50.4065,35.27205,8.38024,131.39462,258.28643,631.08193,461.03815,430.26892,36.71044,20.76298,49.21826,42.77674,102.38,3.67342,2.52495,1.14847,2.19854,0.59233,4.83168,0.622465753424658
"34","1-134",1297,"C7",49.3,20,"N+P treatment","yesN","yesP",-4,1,0.49,53.45151,109.08471,491.90245,19.05286,10.5138,0.0217,0.0449,7.90598,0.05104,11.3927,0.62144,3.57366,1.81218,1.20045,0.0174,0.04021,32.44002,51.13019,5.44694,13.31693,0.07278,0.06341,11.0036,71.40221,52.39852,11.80812,103.87454,256.08856,232.10332,367.15867,367.89668,29.05904,10.60886,31.64207,24.16974,110.24,3.61293,2.54816,1.06477,2.39315,0.62639,3.95146,0.614214876033058
