"","Tube","Tree_ID","Stand","dbh_cm","t_height_m","trmt","Ntrmt","Ptrmt","dfromtop","scaled","mass_g","area_cm2","SLA","C","N","N_P","Al","B","Ca","Fe","K","Mg","Mn","P","S","Sr","Zn","s_Ca","s_K","s_Mg","s_Mn","s_Al","s_Zn","s_P","Put","Spd","Spm","Asp","Glu","Arg","Ala","GABA","Val","Ile","Leu","Lys","Pro","total_chl","Chl_A","Chl_B","Chl_R","carot","protein","moisture"
"46","1-146",168,"C9",53.8,22,"N+P treatment","yesN","yesP",-4,0.4,0.428,36.16122,84.48883,491.83353,20.46144,16.14952,0.023,0.05,7.325,0.047,7.172,0.919,2.132,1.267,1.33,0.022,0.029,40.7511,32.72587,8.54199,8.65337,0.07022,0.06301,7.70958,49.68847,35.82555,13.47352,44.4704,163.78505,58.64486,393.61371,193.76947,25.15576,15.10903,24.92212,30.14019,85.67,3.99164,2.90864,1.083,2.68573,0.74604,4.40828,0.592
"47","1-147",168,"C9",53.8,22,"N+P treatment","yesN","yesP",-6,0.6,0.425,46.55475,109.54058,493.74722,26.77852,18.2568,0.03154,0.04996,7.36705,0.07714,9.30984,1.07878,1.61981,1.46677,1.66663,0.02149,0.0294,25.64453,35.53833,7.83531,4.89826,0.03898,0.02013,5.71932,45.36489,25.14793,14.99014,91.91321,203.84615,26.42998,476.33136,191.22288,23.17554,15.08876,80.86785,28.50099,82.25,4.21298,2.97041,1.24257,2.39054,0.66833,4.25,0.613372093023256
"48","1-148",168,"C9",53.8,22,"N+P treatment","yesN","yesP",-8,0.8,0.464,59.05795,127.28006,492.79369,26.75397,18.37014,0.03201,0.04936,8.25191,0.07621,8.95833,1.22282,1.69929,1.45638,1.73033,0.02425,0.03717,32.07763,39.6617,9.91096,6.18773,0.09355,0.03808,6.93207,54.95669,30.02887,16.55438,119.82676,277.57459,99.71126,592.01155,244.08085,26.27526,17.99808,105.10106,36.76612,86.33,4.02784,2.82784,1.2,2.35654,0.60606,4.09543,0.636938775510204
"49","1-149",168,"C9",53.8,22,"N+P treatment","yesN","yesP",-10,1,0.414,48.27087,116.59631,493.73752,24.42709,16.73861,0.02585,0.04704,8.09106,0.0571,8.46799,1.21072,1.8081,1.45933,1.43174,0.02458,0.03837,30.65986,30.91269,9.80608,6.4992,0.02855,0.05441,6.1829,41.62936,24.44047,15.12981,96.41898,247.26947,55.86392,480.48344,173.6795,26.76813,17.81558,70.81468,46.01611,77.26,4.70238,3.30483,1.39755,2.36474,0.76588,3.44444,0.620769230769231
"50","1-150",320,"C9",44,24,"N treatment","yesN","noP",0,0,0.552,31.10962,56.358,501.55256,23.30157,23.18617,0.02337,0.02535,5.34895,0.06474,6.74809,0.56995,1.8638,1.00498,1.22092,0.01526,0.0175,32.36757,62.47848,5.06633,10.17388,0.11348,0.05021,8.36792,108.0292,30.36496,5.69343,43.74696,112.45742,1414.06326,390.26764,365.9854,26.76399,30.85158,91.58151,65.20681,208.32,1.93244,1.39306,0.53938,2.58272,0.46003,5.70994,0.558421052631579
"51","1-151",320,"C9",44,24,"N treatment","yesN","noP",-2,0.2,0.523,36.78057,70.32614,492.18176,25.34523,22.17364,0.02636,0.03402,6.74401,0.06497,6.97791,1.02383,2.59297,1.14303,1.41313,0.01789,0.0252,34.029,46.55112,9.13047,12.19079,0.09191,0.03673,7.72479,53.94582,34.86455,8.95171,98.93993,217.02002,471.02474,448.05654,347.93875,40.51826,34.04005,55.59482,41.16608,96.11,2.86547,2.00418,0.86129,2.32697,0.49884,4.45098,0.554146341463415
"52","1-152",320,"C9",44,24,"N treatment","yesN","noP",-4,0.4,0.49,37.21283,75.94455,491.11549,23.56096,22.21196,0.02281,0.03218,8.2224,0.06129,5.82814,1.07623,2.77674,1.06073,1.41756,0.02494,0.02794,51.10222,42.11635,11.64815,14.95049,0.07542,0.06739,7.63746,49.23513,28.55524,6.17564,68.2153,182.60623,340.50992,404.98584,402.03966,24.41926,17.45042,30.5949,24.02266,85.5,3.55314,2.50263,1.05051,2.38231,0.62188,4.43434,0.583148148148148
"53","1-153",320,"C9",44,24,"N treatment","yesN","noP",-6,0.6,0.429,33.14187,77.25377,485.20344,24.28516,22.27734,0.02514,0.03571,10.01316,0.06781,5.93414,1.40049,2.97232,1.09013,1.49875,0.03088,0.03798,49.78254,36.03644,12.15245,13.73608,0.06956,0.05359,6.85988,57.55725,32.59542,10.38168,74.96183,182.1374,91.29771,378.70229,294.35115,15.9542,10.45802,20.38168,8.39695,61.37,3.93655,2.7523,1.18425,2.32409,0.63613,4.09002,0.588571428571429
"54","1-154",320,"C9",44,24,"N treatment","yesN","noP",-8,0.8,0.465,45.7571,98.40237,487.45514,25.09579,23.06971,0.02957,0.03564,10.2221,0.07665,5.83699,1.48923,2.9354,1.08782,1.62961,0.03195,0.03805,44.25501,29.44895,11.77922,11.75813,0.05734,0.05297,5.70149,40.6326,27.81833,12.24655,111.84104,233.81995,202.7575,408.59692,296.26926,20.76237,12.48986,24.08759,19.95134,64.64,4.57171,3.2149,1.35681,2.36944,0.749,3.66,0.608648648648649
"55","1-155",320,"C9",44,24,"N treatment","yesN","noP",-10,1,0.464,52.66441,113.50089,485.55738,22.7221,21.28129,0.02427,0.03303,9.81189,0.06921,6.531,1.38055,2.73153,1.0677,1.51018,0.03069,0.0451,32.63658,24.24506,10.04769,8.63661,0.023,0.06266,4.41327,49.89369,21.75762,11.69383,62.79235,155.27994,94.25939,286.18001,116.3005,15.94614,7.72502,23.95464,18.85188,46.63,4.54822,3.03241,1.51581,2.00052,0.53376,3.23108,0.608275862068966
"56","1-156",128,"C9",59.8,23,"P treatment","noN","yesP",0,0,0.643,40.86443,63.55278,504.64848,17.32165,11.23147,0.01809,0.03385,3.63259,0.03709,10.78489,0.28186,1.11621,1.54224,1.37894,0.00883,0.02471,17.36644,73.37047,2.73702,5.00019,0.06672,0.03545,10.88883,196.16537,40.86279,2.03715,78.60995,108.86759,160.33553,238.16657,305.99161,24.86519,49.25105,83.46315,3.41522,650.63,1.27196,0.93608,0.33588,2.78694,0.35177,5.29046,0.586875
"57","1-157",128,"C9",59.8,23,"P treatment","noN","yesP",-2,0.25,0.582,42.12895,72.38651,502.95715,19.37524,11.54971,0.01889,0.0346,3.80884,0.04314,10.73738,0.34195,1.18116,1.67755,1.55393,0.00977,0.02317,19.37537,77.60804,3.29175,5.50094,0.09579,0.06603,13.00187,263.40206,55.61283,3.20733,128.98053,241.63803,424.79954,396.90722,581.04238,52.34822,71.70676,88.77434,12.37113,953.49,1.31428,0.95168,0.36261,2.62455,0.3566,5.56452,0.575531914893617
"58","1-158",128,"C9",59.8,23,"P treatment","noN","yesP",-4,0.5,0.546,50.06442,91.69307,486.44294,17.6754,10.38486,0.02293,0.04821,8.41037,0.03919,9.27514,0.55224,2.08004,1.70204,1.579,0.02094,0.03401,39.20336,62.99505,5.06899,9.39164,0.10964,0.09152,11.44142,60.96544,61.79976,8.16448,100.83433,255.89988,108.58164,352.97974,533.96901,25.56615,23.77831,27.94994,11.44219,136.17,2.86659,2.04777,0.81882,2.50087,0.54181,3.9604,0.5952
"59","1-159",128,"C9",59.8,23,"P treatment","noN","yesP",-6,0.75,0.533,50.98699,95.6604,493.5224,24.4033,15.25617,0.02228,0.03578,4.91562,0.04841,11.95974,0.64113,1.32989,1.59957,1.82705,0.01329,0.03634,18.46881,68.97484,5.92292,4.95803,0.05804,0.08805,9.74472,155.89661,82.06785,8.15832,118.57835,287.64136,112.52019,410.58158,534.24879,31.42165,49.83845,43.78029,11.06624,269.47,2.79069,1.95436,0.83633,2.33685,0.50521,4.24951,0.596607142857143
"60","1-160",128,"C9",59.8,23,"P treatment","noN","yesP",-8,1,0.477,57.8515,121.28196,480.58649,22.02243,12.95143,0.02238,0.06246,8.3732,0.05011,12.60701,0.9836,2.31165,1.70039,1.89371,0.02046,0.04116,26.38444,42.29341,6.7947,7.08876,0.04303,0.06221,6.53431,12.5,15.41005,14.02116,123.47884,302.97619,443.25397,278.04233,207.07672,11.57407,8.7963,20.17196,14.48413,55.69,3.93839,2.78297,1.15542,2.40863,0.62524,2.92261,0.623493975903614
